image,pipeline,score,text,conf,x,y,w,h
captcha2.jpg,adapt_deskew_psm11__UNRELIABLE,49.54517744447956,DMs,44.0,99,29,232,88
numbers_gs150.jpg,otsu_psm4,64.60952237384795,3.75,47.0,52,34,106,43
numbers_gs150.jpg,otsu_psm4,64.60952237384795,miles,47.0,178,32,130,46
numbers_gs150.jpg,otsu_psm4,64.60952237384795,[7.5,53.0,337,9,131,112
numbers_gs150.jpg,otsu_psm4,64.60952237384795,11.25,35.0,348,16,690,76
numbers_gs150.jpg,otsu_psm4,64.60952237384795,|,35.0,1027,9,20,112
numbers_gs150.jpg,otsu_psm4,64.60952237384795,15.0,35.0,1071,35,102,45
numbers_gs150.jpg,otsu_psm4,64.60952237384795,soa,23.0,19,61,178,178
numbers_gs150.jpg,otsu_psm4,64.60952237384795,[3875,23.0,300,61,387,178
numbers_gs150.jpg,otsu_psm4,64.60952237384795,37.5,89.0,720,110,105,44
numbers_gs150.jpg,otsu_psm4,64.60952237384795,"41,25",77.0,1067,107,135,47
numbers_gs150.jpg,otsu_psm4,64.60952237384795,we,37.0,1077,186,52,41
numbers_gs150.jpg,otsu_psm4,64.60952237384795,1D,40.0,1206,193,32,29
numbers_gs150.jpg,otsu_psm4,64.60952237384795,=a,51.0,23,237,189,66
numbers_gs150.jpg,otsu_psm4,64.60952237384795,BH,37.0,390,165,372,136
numbers_gs150.jpg,otsu_psm4,64.60952237384795,ee,36.0,24,304,211,65
numbers_gs150.jpg,otsu_psm4,64.60952237384795,es,36.0,400,240,468,131
numbers_gs150.jpg,otsu_psm4,64.60952237384795,ee,31.0,456,367,232,99
numbers_gs150.jpg,otsu_psm4,64.60952237384795,|,45.0,19,437,49,98
numbers_gs150.jpg,otsu_psm4,64.60952237384795,an,56.0,125,437,107,98
numbers_gs150.jpg,otsu_psm4,64.60952237384795,[UU,20.0,197,441,737,84
numbers_gs150.jpg,otsu_psm4,64.60952237384795,1D»,32.0,672,437,164,98
numbers_gs150.jpg,otsu_psm4,64.60952237384795,4,39.0,909,437,42,98
numbers_gs150.jpg,otsu_psm4,64.60952237384795,14%,77.0,1037,452,121,47
numbers_gs150.jpg,otsu_psm4,64.60952237384795,TG,30.0,19,644,193,77
numbers_gs150.jpg,otsu_psm4,64.60952237384795,AT],30.0,262,644,98,77
numbers_gs150.jpg,otsu_psm4,64.60952237384795,sr,32.0,583,644,91,77
numbers_gs150.jpg,otsu_psm4,64.60952237384795,6499.,27.0,817,657,107,49
numbers_gs150.jpg,otsu_psm4,64.60952237384795,|,41.0,1031,643,20,75
numbers_gs150.jpg,otsu_psm4,64.60952237384795,oC,48.0,1263,643,50,75
numbers_gs150.jpg,otsu_psm4,64.60952237384795,y(t,29.0,22,786,482,69
numbers_gs150.jpg,otsu_psm4,64.60952237384795,|,80.0,312,782,58,98
numbers_gs150.jpg,otsu_psm4,64.60952237384795,¥O7,55.0,482,789,207,66
numbers_gs150.jpg,otsu_psm4,64.60952237384795,Pe,40.0,1081,859,183,67
numbers_gs150.jpg,otsu_psm4,64.60952237384795,PPS,26.0,22,994,666,67
numbers_gs150.jpg,otsu_psm4,64.60952237384795,OP|,26.0,234,990,136,96
numbers_gs150.jpg,otsu_psm4,64.60952237384795,P/F,34.0,442,994,176,67
numbers_gs150.jpg,otsu_psm4,64.60952237384795,|,40.0,674,990,40,96
numbers_gs150.jpg,otsu_psm4,64.60952237384795,ee,26.0,22,1064,666,84
numbers_gs150.jpg,otsu_psm4,64.60952237384795,|,79.0,679,1129,34,97
numbers_gs150.jpg,otsu_psm4,64.60952237384795,rey,25.0,752,1129,155,97
numbers_gs150.jpg,otsu_psm4,64.60952237384795,1,68.0,962,1129,42,97
numbers_gs150.jpg,otsu_psm4,64.60952237384795,|,52.0,1035,1129,33,97
numbers_gs150.jpg,otsu_psm4,64.60952237384795,Oe,39.0,1116,1129,146,97
numbers_gs150.jpg,otsu_psm4,64.60952237384795,ee,29.0,464,1199,189,94
numbers_gs150.jpg,otsu_psm4,64.60952237384795,eee,43.0,793,1199,244,94
numbers_gs150.jpg,otsu_psm4,64.60952237384795,Aol,47.0,1034,1305,77,25
numbers_gs150.jpg,otsu_psm4,64.60952237384795,od,47.0,1257,1288,35,42
numbers_gs150.jpg,otsu_psm4,64.60952237384795,ee,31.0,484,1336,191,95
numbers_gs150.jpg,otsu_psm4,64.60952237384795,ee,34.0,745,1340,289,67
numbers_gs150.jpg,otsu_psm4,64.60952237384795,ee,29.0,471,1405,204,94
numbers_gs150.jpg,otsu_psm4,64.60952237384795,ee,37.0,792,1405,244,94
numbers_gs150.jpg,otsu_psm4,64.60952237384795,|,78.0,678,1480,9,64
numbers_gs150.jpg,otsu_psm4,64.60952237384795,FST),24.0,778,1480,535,100
numbers_gs150.jpg,otsu_psm4,64.60952237384795,|,46.0,686,1545,39,93
numbers_gs150.jpg,otsu_psm4,64.60952237384795,cS,30.0,198,1820,68,81
numbers_gs150.jpg,otsu_psm4,64.60952237384795,2-57,23.0,778,1820,197,81
numbers_gs150.jpg,otsu_psm4,64.60952237384795,|,39.0,1015,1820,21,81
numbers_gs150.jpg,otsu_psm4,64.60952237384795,"poy,",39.0,1056,1847,168,45
numbers_gs150.jpg,otsu_psm4,64.60952237384795,"WCF,",36.0,20,1890,227,79
numbers_gs150.jpg,otsu_psm4,64.60952237384795,BB,34.0,470,1895,64,63
numbers_gs150.jpg,otsu_psm4,64.60952237384795,|,48.0,680,1890,34,79
numbers_gs150.jpg,otsu_psm4,64.60952237384795,Biwi,23.0,799,1906,164,52
numbers_gs150.jpg,otsu_psm4,64.60952237384795,¢37/.,21.0,1018,1905,166,47
numbers_gs150.jpg,otsu_psm4,64.60952237384795,56,21.0,1205,1906,109,44
numbers_gs150.jpg,otsu_psm4,64.60952237384795,yy,22.0,382,1963,160,66
